Audio File : whispy\mar_07\030723_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 04:17:14          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:18:35.007 -->  00:18:38.517] AB SPEAKER_00
[ 00:18:37.200 -->  00:18:50.937] CW SPEAKER_01
[ 00:18:38.517 -->  00:18:39.242] NF SPEAKER_06
[ 00:18:42.972 -->  00:18:43.495] PI SPEAKER_07
[ 00:18:46.988 -->  00:18:47.055] NG SPEAKER_06
[ 00:18:48.810 -->  00:18:50.110] HH SPEAKER_03
[ 00:18:50.937 -->  00:18:52.287] HI SPEAKER_03
[ 00:18:52.287 -->  00:18:59.492] KI SPEAKER_04
[ 00:18:53.485 -->  00:18:53.873] HJ SPEAKER_03
[ 00:18:53.991 -->  00:18:54.430] NH SPEAKER_06
[ 00:18:54.430 -->  00:18:55.493] PJ SPEAKER_07
[ 00:18:55.341 -->  00:18:55.442] NI SPEAKER_06
[ 00:19:00.724 -->  00:19:00.944] KJ SPEAKER_04
[ 00:19:00.944 -->  00:19:01.332] DU SPEAKER_02
[ 00:19:01.956 -->  00:19:02.496] DV SPEAKER_02
[ 00:19:03.087 -->  00:19:04.319] DW SPEAKER_02
[ 00:19:05.483 -->  00:19:28.416] HK SPEAKER_03
[ 00:19:09.229 -->  00:19:10.579] PK SPEAKER_07
[ 00:19:10.579 -->  00:19:11.288] NJ SPEAKER_06
[ 00:19:20.215 -->  00:19:20.249] NK SPEAKER_06
[ 00:19:20.249 -->  00:19:21.447] PL SPEAKER_07
[ 00:19:24.214 -->  00:19:24.501] NL SPEAKER_06
[ 00:19:24.501 -->  00:19:25.024] DX SPEAKER_02
[ 00:19:26.543 -->  00:19:45.342] DY SPEAKER_02
[ 00:19:42.102 -->  00:19:47.924] HL SPEAKER_03
[ 00:19:44.970 -->  00:19:45.004] NM SPEAKER_06
[ 00:19:47.670 -->  00:19:50.219] DZ SPEAKER_02
[ 00:19:50.860 -->  00:19:55.585] EA SPEAKER_02
[ 00:19:55.399 -->  00:19:55.737] PM SPEAKER_07
[ 00:19:55.484 -->  00:19:57.154] HM SPEAKER_03
[ 00:19:56.395 -->  00:19:56.462] PN SPEAKER_07
[ 00:19:56.412 -->  00:19:57.087] EB SPEAKER_02
[ 00:19:57.795 -->  00:19:57.846] EC SPEAKER_02
[ 00:19:57.846 -->  00:20:02.166] HN SPEAKER_03
[ 00:20:02.959 -->  00:20:05.035] HO SPEAKER_03
[ 00:20:03.027 -->  00:20:14.991] ED SPEAKER_02
[ 00:20:07.296 -->  00:20:11.954] PO SPEAKER_07
[ 00:20:15.396 -->  00:20:27.479] HP SPEAKER_03
[ 00:20:28.440 -->  00:20:30.280] HQ SPEAKER_03
[ 00:20:30.921 -->  00:20:39.494] HR SPEAKER_03
[ 00:20:31.815 -->  00:20:36.119] KK SPEAKER_04
