Audio File : whispy\mar_28\032823_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 05:58:15          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:19:30.374 -->  00:19:30.947] NF SPEAKER_06
[ 00:19:30.947 -->  00:19:32.010] AG SPEAKER_00
[ 00:19:35.925 -->  00:19:36.482] AH SPEAKER_00
[ 00:19:39.992 -->  00:19:46.152] XG SPEAKER_09
[ 00:19:46.152 -->  00:19:47.012] TX SPEAKER_08
[ 00:19:47.012 -->  00:20:22.264] ADI SPEAKER_10
[ 00:20:21.387 -->  00:20:37.941] IF SPEAKER_04
[ 00:20:23.985 -->  00:20:24.711] ADJ SPEAKER_10
[ 00:20:36.186 -->  00:20:36.338] XH SPEAKER_09
[ 00:20:37.030 -->  00:20:42.008] QP SPEAKER_07
[ 00:20:37.047 -->  00:20:37.587] XI SPEAKER_09
[ 00:20:38.667 -->  00:20:38.954] IG SPEAKER_04
[ 00:20:38.700 -->  00:20:38.920] XJ SPEAKER_09
[ 00:20:42.008 -->  00:20:58.495] IH SPEAKER_04
[ 00:20:59.170 -->  00:21:16.298] II SPEAKER_04
[ 00:21:10.864 -->  00:21:11.573] AI SPEAKER_00
[ 00:21:16.889 -->  00:21:22.829] XK SPEAKER_09
